"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.351135250E-1,-5.493164062E-4,9.460449219E-4,3.814697266E-4,1.158563188E-3
3.401184080E-1,-5.493164062E-4,9.460449219E-4,-6.866455078E-4,1.291600388E-3
3.450927730E-1,-5.493164062E-4,9.460449219E-4,-6.866455078E-4,1.291600388E-3
3.500976560E-1,5.187988281E-4,2.014160156E-3,-1.754760742E-3,2.721245785E-3
3.551025390E-1,-5.493164062E-4,3.082275391E-3,1.449584961E-3,3.450140092E-3
3.601074220E-1,5.187988281E-4,9.460449219E-4,1.449584961E-3,1.807055555E-3
3.651123050E-1,1.586914062E-3,-1.190185547E-3,-6.866455078E-4,2.099123610E-3
3.701171870E-1,5.187988281E-4,9.460449219E-4,-6.866455078E-4,1.278919572E-3
3.750915530E-1,-1.617431641E-3,2.014160156E-3,1.449584961E-3,2.962131463E-3
3.800964350E-1,-1.617431641E-3,-1.220703125E-4,1.449584961E-3,2.175381077E-3
3.851013180E-1,-5.493164062E-4,-1.220703125E-4,-6.866455078E-4,8.877678349E-4
3.901062010E-1,-5.493164062E-4,-1.220703125E-4,3.814697266E-4,6.798299991E-4
3.951110840E-1,1.586914062E-3,-1.190185547E-3,3.814697266E-4,2.019989364E-3
4.001159670E-1,-5.493164062E-4,-1.190185547E-3,3.814697266E-4,1.365214013E-3
4.051208490E-1,5.187988281E-4,-1.220703125E-4,1.449584961E-3,1.544457816E-3
4.101257320E-1,1.586914062E-3,-1.190185547E-3,-6.866455078E-4,2.099123610E-3
4.151000970E-1,-5.493164062E-4,-1.220703125E-4,1.449584961E-3,1.554974673E-3
4.201049800E-1,1.586914062E-3,9.460449219E-4,3.814697266E-4,1.886482544E-3
4.251098630E-1,5.187988281E-4,9.460449219E-4,-6.866455078E-4,1.278919572E-3
4.301147460E-1,-5.493164062E-4,-1.220703125E-4,3.814697266E-4,6.798299991E-4
4.351196290E-1,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
4.401245120E-1,5.187988281E-4,-1.220703125E-4,3.814697266E-4,6.554178343E-4
4.451293940E-1,-5.493164062E-4,2.014160156E-3,-6.866455078E-4,2.197742410E-3
4.501342770E-1,-5.493164062E-4,-1.220703125E-4,-1.754760742E-3,1.842779134E-3
4.551086420E-1,5.187988281E-4,-1.190185547E-3,3.814697266E-4,1.353223194E-3
4.601135250E-1,5.187988281E-4,-1.220703125E-4,-6.866455078E-4,8.692154156E-4
4.651184080E-1,1.586914062E-3,2.014160156E-3,-6.866455078E-4,2.654546935E-3
4.701232910E-1,1.586914062E-3,2.014160156E-3,-6.866455078E-4,2.654546935E-3
4.751281740E-1,-5.493164062E-4,-1.220703125E-4,-2.807617188E-3,2.863453151E-3
4.801330560E-1,-5.493164062E-4,9.460449219E-4,3.814697266E-4,1.158563188E-3
4.851379390E-1,1.586914062E-3,9.460449219E-4,3.814697266E-4,1.886482544E-3
4.901428220E-1,1.586914062E-3,2.014160156E-3,-1.754760742E-3,3.107140589E-3
4.951477050E-1,-1.617431641E-3,9.460449219E-4,-6.866455078E-4,1.995637282E-3
5.001525880E-1,-5.493164062E-4,-1.220703125E-4,1.449584961E-3,1.554974673E-3
5.051574710E-1,-1.617431641E-3,-1.220703125E-4,3.814697266E-4,1.666284917E-3
5.101623530E-1,-5.493164062E-4,-1.190185547E-3,3.814697266E-4,1.365214013E-3
5.151672360E-1,-5.493164062E-4,9.460449219E-4,1.449584961E-3,1.816052331E-3
5.201721190E-1,5.187988281E-4,9.460449219E-4,1.449584961E-3,1.807055555E-3
5.251464840E-1,5.187988281E-4,3.082275391E-3,3.814697266E-4,3.148824060E-3
5.301513670E-1,2.655029297E-3,9.460449219E-4,-6.866455078E-4,2.900976321E-3
5.351562500E-1,-5.493164062E-4,2.014160156E-3,3.814697266E-4,2.122288576E-3
5.401611330E-1,5.187988281E-4,9.460449219E-4,3.814697266E-4,1.144409180E-3
5.451660150E-1,1.586914062E-3,2.014160156E-3,-6.866455078E-4,2.654546935E-3
