X		Y		Z
0,02	0,02	0,96
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
-0,00	0,03	0,99
0,01	0,02	0,99
0,01	0,02	0,99
-0,00	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
-0,00	0,03	0,99
0,01	0,02	0,99
-0,00	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,03	0,99
-0,00	0,03	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,01	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
-0,00	0,02	0,99
-0,00	0,02	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
-0,00	0,02	0,99
0,01	0,02	0,99
0,01	0,01	1,00
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
-0,00	0,02	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
-0,00	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
-0,00	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
-0,00	0,02	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,02	0,99
0,01	0,02	0,99
0,01	0,03	0,99
0,01	0,03	0,99
0,01	0,03	1,00
0,01	0,02	0,99
